,movie,year,imdb,metaScore,votes,usGrossMillions,timeMin
362,The Breath,2009,8.0,,32240,,128
363,Slumdog Millionaire,2008,8.0,84.0,807368,141.32,120
364,Black Swan,2010,8.0,79.0,709694,106.95,108
365,Elite Squad,2007,8.0,33.0,99200,0.01,115
366,The Avengers,2012,8.0,69.0,1280145,623.28,143
367,Persepolis,2007,8.0,90.0,89906,4.45,96
368,Dallas Buyers Club,2013,8.0,80.0,450489,27.3,117
369,Lage Raho Munna Bhai,2006,8.0,,43714,2.22,144
370,The Pursuit of Happyness,2006,8.0,64.0,458325,163.57,117
371,Blood Diamond,2006,8.0,64.0,506980,57.37,143
372,The Bourne Ultimatum,2007,8.0,85.0,609216,227.47,115
373,3-Iron,2004,8.0,72.0,51661,0.24,88
374,Sin City,2005,8.0,74.0,742373,74.1,124
375,The Diving Bell and the Butterfly,2007,8.0,92.0,104121,5.99,112
376,Tae Guk Gi: The Brotherhood of War,2004,8.0,64.0,38133,1.11,140
377,G.O.R.A.,2004,8.0,,58248,,127
378,Ratatouille,2007,8.0,96.0,653098,206.45,111
379,Casino Royale,2006,8.0,80.0,589054,167.45,144
380,Kill Bill: Vol. 2,2004,8.0,83.0,694443,66.21,137
381,The Return,2003,8.0,82.0,43230,0.5,110
382,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85.0,78530,2.38,103
383,The Sea Inside,2004,8.0,74.0,78417,2.09,126
384,Cinderella Man,2005,8.0,69.0,178152,61.65,144
385,Infernal Affairs,2002,8.0,75.0,118926,0.17,101
386,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63.0,1025798,305.41,143
387,Big Fish,2003,8.0,58.0,419602,66.26,125
388,The Incredibles,2004,8.0,90.0,666408,261.44,115
389,My Sassy Girl,2001,8.0,,45852,,137
390,Dogville,2003,8.0,60.0,139753,1.53,178
391,Vizontele,2001,8.0,,34319,,110
392,Donnie Darko,2001,8.0,88.0,749578,1.48,113
393,Magnolia,1999,8.0,77.0,292980,22.46,188
394,Dancer in the Dark,2000,8.0,61.0,103793,4.18,140
395,The Straight Story,1999,8.0,86.0,83362,6.2,112
396,Perfect Blue,1997,8.0,,61137,0.78,81
397,Central Station,1998,8.0,80.0,37065,5.6,110
398,The Iron Giant,1999,8.0,85.0,175114,23.16,86
399,Sling Blade,1996,8.0,84.0,88162,24.48,135
400,Secrets & Lies,1996,8.0,91.0,38629,13.42,136
401,12 Monkeys,1995,8.0,74.0,585394,57.14,129
402,Ghost in the Shell,1995,8.0,76.0,131820,0.52,83
403,The Nightmare Before Christmas,1993,8.0,82.0,303614,75.08,76
404,Groundhog Day,1993,8.0,72.0,586058,70.91,101
405,"Blood In, Blood Out",1993,8.0,47.0,29240,4.5,180
406,Scent of a Woman,1992,8.0,59.0,270309,63.9,156
407,Aladdin,1992,8.0,86.0,378917,217.35,90
408,JFK,1991,8.0,72.0,144428,70.41,189
409,Beauty and the Beast,1991,8.0,95.0,421407,218.97,84
410,Dances with Wolves,1990,8.0,72.0,244968,184.21,181
411,Do the Right Thing,1989,8.0,93.0,92339,27.55,120
412,Rain Man,1988,8.0,65.0,480011,178.8,133
413,Akira,1988,8.0,,168343,0.55,124
414,Wings of Desire,1987,8.0,79.0,66063,3.33,128
415,Au Revoir les Enfants,1987,8.0,88.0,31753,4.54,104
416,Castle in the Sky,1986,8.0,78.0,153041,,125
